file	lines	explicit_module	module_doc	title_only_header	non_instance_declarations	instances	missing_non_instance_docs	missing_instance_docs	explicit_structure_fields	missing_field_docs	sorry_tokens	semantic_review
Algebra.lean	15	1	1	0	0	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Algebra/LinearDependence.lean	89	1	1	0	5	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis.lean	41	1	1	0	0	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Connected.lean	73	1	1	0	2	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/ConvexHullDomain.lean	56	1	1	0	1	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Deriv.lean	36	1	1	0	1	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/GeometricBounds.lean	66	1	1	0	3	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Holomorphic/FunctionSpace.lean	154	1	1	0	11	1	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Holomorphic/NormalFamily.lean	173	1	1	0	4	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/CompactSupport.lean	66	1	1	0	2	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/CurveIntegral.lean	106	1	1	0	6	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/CurveIntegral/Bounds.lean	95	1	1	0	5	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/CurveIntegral/Improper.lean	91	1	1	0	4	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/CurveIntegral/Map.lean	74	1	1	0	2	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/Parametric.lean	63	1	1	0	1	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/Pi.lean	54	1	1	0	2	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/Reciprocal.lean	49	1	1	0	2	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/Integral/Tail.lean	78	1	1	0	3	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/LinearFunctional.lean	103	1	1	0	3	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/OpenMapping.lean	159	1	1	0	3	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/SpecialFunctions/Gamma.lean	231	1	1	0	7	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Analysis/TaylorBounds.lean	151	1	1	0	3	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Carlson.lean	39	1	1	0	0	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Carlson/Aggregation.lean	60	1	1	0	3	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Carlson/Associated/Shift.lean	67	1	1	0	5	0	0	0	5	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Carlson/L.lean	28	1	1	0	0	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Carlson/L/Associated.lean	90	1	1	0	5	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Carlson/L/Basic.lean	67	1	1	0	7	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Carlson/L/Continuation.lean	198	1	1	0	16	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
Carlson/L/Deriv.lean	110	1	1	0	7	0	0	0	0	0	0	not certified; see PROJECT_REVIEW.md for reviewed excerpts
